# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.341957860486e-10       4.768997473873e-15       3.557581725383e-13       2.269062833859e-19       7.874165507603e-09       4.602777317445e-10      -1.909402774664e-12 
    3       1.266257910402e-10       6.647030496298e-15       4.176022063350e-13       4.539152211934e-19       4.862109419188e-09       3.265393633519e-10      -1.522965989019e-12 
    4       1.194997734353e-10       6.270442933695e-15       4.042823493075e-13       7.567512418027e-19       3.388659419326e-09       2.475793780937e-10      -1.065090454434e-12 
    5       1.141501139241e-10       4.575287956794e-15       3.546753109549e-13       1.135545029575e-18       2.534631964847e-09       1.958244093974e-10      -6.543260018006e-13 
    6       1.104419988839e-10       2.756789859654e-15       2.927462288678e-13       1.590454772049e-18       1.983469234314e-09       1.594807330403e-10      -3.288093863735e-13 
    7       1.080233810617e-10       1.503540606944e-15       2.334058185362e-13       2.121662955578e-18       1.602774704069e-09       1.327445587356e-10      -9.929100905838e-14 
    8       1.065960601990e-10       8.908532487378e-16       1.843205931648e-13       2.729372749730e-18       1.326530360170e-09       1.124557058133e-10       3.961373448127e-14 
    9       1.059146311362e-10       6.711128984495e-16       1.485230592119e-13       3.413804091875e-18       1.118318590828e-09       9.670471207750e-11       1.030811435557e-13 
   10       1.058158362099e-10       5.854363631520e-16       1.259742409786e-13       4.175189591153e-18       9.566959977062e-10       8.418815812291e-11       1.114440946141e-13 
   11       1.060977434503e-10       5.087783997514e-16       1.148063946166e-13       5.013770374610e-18       8.073166348801e-10       7.422626897009e-11       8.620363858824e-14 
   12       1.066919300110e-10       4.327578358283e-16       1.123137946447e-13       5.929791997515e-18       7.059681903957e-10       6.574223665538e-11       4.661601936010e-14 
   13       1.075682267393e-10       3.859566360851e-16       1.156181856134e-13       6.923500534909e-18       6.226846024181e-10       5.861312491583e-11       6.996357524720e-15 
   14       1.086735571608e-10       3.788607130135e-16       1.221751860746e-13       7.995138962377e-18       5.533339606287e-10       5.275588942146e-11      -2.311583511708e-14 
   15       1.099059771114e-10       3.982381677738e-16       1.300877241120e-13       9.144943921316e-18       4.949214503977e-10       4.773345993655e-11      -3.991527592896e-14 
   16       1.112637876971e-10       4.278076302659e-16       1.381937593527e-13       1.037314294811e-17       4.452199961254e-10       4.323913594031e-11      -4.393007510246e-14 
   17       1.127761303487e-10       4.637893303878e-16       1.460128731975e-13       1.167995222815e-17       4.025539626893e-10       3.935337453557e-11      -3.812806572468e-14 
   18       1.143698151337e-10       5.144392152877e-16       1.535005018619e-13       1.306557467766e-17       3.654988818858e-10       3.599899789743e-11      -2.716915247822e-14 
   19       1.160499231025e-10       5.867436855259e-16       1.608959284037e-13       1.453020003589e-17       3.334747191222e-10       3.308668727576e-11      -1.492878826054e-14 
   20       1.178030201438e-10       6.855672597418e-16       1.685378899534e-13       1.607400174675e-17       3.052553985715e-10       3.047184160528e-11      -5.351528022478e-15 
   21       1.196268153173e-10       8.091831537278e-16       1.766699120967e-13       1.769714052330e-17       2.804004302267e-10       2.813665829348e-11       1.093177080696e-17 
   22       1.214951225233e-10       9.531237192234e-16       1.854453679683e-13       1.939976101650e-17       2.583179806307e-10       2.606778637171e-11       7.356132590261e-16 
   23       1.234193408571e-10       1.116926031825e-15       1.947016024943e-13       2.118199743388e-17       2.387143921403e-10       2.424441900620e-11      -2.207501807734e-15 
   24       1.254009795678e-10       1.301034252483e-15       2.040953790512e-13       2.304396961546e-17       2.211428965605e-10       2.261680274192e-11      -7.050245482713e-15 
   25       1.274334975231e-10       1.505068108932e-15       2.132358002297e-13       2.498578915846e-17       2.053666194267e-10       2.114578473314e-11      -1.215164538282e-14 
   26       1.294957800378e-10       1.728371962429e-15       2.216918926244e-13       2.700755687582e-17       1.910786803071e-10       1.978500634287e-11      -1.588722712203e-14 
   27       1.315960110131e-10       1.971549907391e-15       2.292168102547e-13       2.910937411908e-17       1.782059792458e-10       1.853493475629e-11      -1.776372162891e-14 
   28       1.337368417270e-10       2.235627084753e-15       2.356007574911e-13       3.129133383499e-17       1.665934314483e-10       1.739963163168e-11      -1.767165254797e-14 
   29       1.359076132567e-10       2.521837751652e-15       2.406629667250e-13       3.355352111123e-17       1.559601694300e-10       1.637084037146e-11      -1.569178345855e-14 
   30       1.381124312565e-10       2.832127638746e-15       2.444465535090e-13       3.589602919884e-17       1.462479948703e-10       1.543870498794e-11      -1.252263377694e-14 
   31       1.403497031513e-10       3.168885552230e-15       2.471073310758e-13       3.831894968578e-17       1.373850867493e-10       1.458258617931e-11      -9.257727581961e-15 
   32       1.426098039803e-10       3.534447140891e-15       2.488222244493e-13       4.082237145246e-17       1.292315996935e-10       1.377624382147e-11      -7.019093494041e-15 
   33       1.448984306876e-10       3.929717309592e-15       2.496228918238e-13       4.340639112694e-17       1.217434622943e-10       1.302088493248e-11      -5.968362808708e-15 
   34       1.472197057130e-10       4.355027966077e-15       2.495034327797e-13       4.607110696695e-17       1.148547670697e-10       1.232306450621e-11      -5.933599040521e-15 
   35       1.495719375966e-10       4.810639019719e-15       2.484423287407e-13       4.881661710288e-17       1.084634490243e-10       1.168538734272e-11      -6.667095803252e-15 
   36       1.519576533966e-10       5.297297362032e-15       2.463282318027e-13       5.164302156721e-17       1.025531060118e-10       1.110560748533e-11      -7.871926664792e-15 
   37       1.543755528296e-10       5.815856373873e-15       2.430064990415e-13       5.455042165555e-17       9.710534390680e-11       1.057644911519e-11      -9.173564497234e-15 
   38       1.568168478108e-10       6.367123328620e-15       2.382964365683e-13       5.753891993486e-17       9.206293594517e-11       1.008525243584e-11      -1.010482578402e-14 
